Geocode,business_id,name,address,city,state,postal_code,latitude,longitude,Score,Income
6037702300,PR0017857,THE COFFEE BEAN & TEA LEAF,3150 OCEAN PARK BLVD ,SANTA MONICA,CA,90405,34.02042073,-118.4525144,94,152461
6037602700,PR0017875,CHESTER WASHINGTON GOLF BAR,1818 CHARLIE SIFFORD DR,LOS ANGELES,CA,90047,33.9239031,-118.3097079,97,102459
6037620901,PR0017889,BASKIN ROBBINS 31 FLAVORS#41,925 N SEPULVEDA BLVD ,MANHATTAN BEACH,CA,90266,33.88554482,-118.3962372,92,328782
6037432601,PR0017989,OASIS SALOON,4254 PECK RD,EL MONTE,CA,91732,34.08175798,-118.0183077,95,72681
6037501504,PR0018042,STARBUCKS #5507,6756 S GREENLEAF AVE,WHITTIER,CA,90601,33.98054049,-118.0371818,91,44111
6037134521,PR0018142,STARBUCKS COFFEE #6473,7258 CANOGA AVE ,CANOGA PARK,CA,91303,34.20282445,-118.5975443,98,59636
6037190202,PR0018175,STARBUCKS COFFEE # 5775,6745 HOLLYWOOD BLVD ,LOS ANGELES,CA,90028,34.10171831,-118.3372636,97,44704
6037532304,PR0018218,STARBUCKS COFFEE #8779,7724 TELEGRAPH RD ,COMMERCE,CA,90040,33.97550309,-118.1245081,91,52977
6037120300,PR0018296,STARBUCKS COFFEE #9683,7902 VAN NUYS BLVD ,PANORAMA CITY,CA,91402,34.21453,-118.44848,97,81488
6037650604,PR0018328,MR LUCKY'S MIDDLEGROUND,21020 HAWTHORNE BLVD ,TORRANCE,CA,90503,33.83917217,-118.3531662,94,67979
6037621400,PR0018349,PEET'S COFFEE AND TEA #327,1418 S PACIFIC COAST HWY ,REDONDO BEACH,CA,90277,33.82198224,-118.3852154,93,128027
6037701000,PR0018402,LETTE,9466 CHARLEVILLE BLVD ,BEVERLY HILLS,CA,90212,34.0647711,-118.3994305,95,214049
6037701902,PR0018417,SHUTTERS ON THE BEACH - EMPLOYEE CAFETERIA,1 PICO BLVD ,SANTA MONICA,CA,90405,34.00720355,-118.4914605,98,121848
6037404801,PR0018419,BASKIN ROBBINS #3186,3203 BALDWIN PARK BLVD ,BALDWIN PARK,CA,91706,34.07176486,-117.9779236,99,68325
6037222700,PR0018450,THE COFFEE BEAN & TEA LEAF,900 W 34TH ST ,LOS ANGELES,CA,90007,34.02336171,-118.2860143,98,12548
6037401002,PR0018555,VONS STARBUCKS #2169,435 W FOOTHILL BLVD ,GLENDORA,CA,91740,34.13726156,-117.8716448,100,86796
6037275602,PR0018588,THE COFFEE BEAN & TEA LEAF#176,13020 PACIFIC PROMENADE # #A,PLAYA VISTA,CA,90094,33.97278522,-118.4234781,96,165234
6037431001,PR0018615,STARBUCKS-VONS 2200,130 W FOOTHILL BLVD ,MONROVIA,CA,91016,34.15119005,-117.9996623,97,81307
